id,app_ym,Org,pro_label,target,sampwt,hit_rule,appAge,appResidence,appTimeAddress,appIncome,appOcc,appFinanceCo,appChkSv,dealNewUsed,dealLoanToVal,cbFICO,cbTimeFile,cbMosAvg,cbUtilizn,cb90Ever,cbPctGood,cbMosDlq,cbInq5Mos,cbMosInq,quickmodel_score
30,201906,Org2,product_A,-2,1.00692511,0,21,P,15,945,p,N,3,U,89.30000019,625,304,-99000784,69,0,83,19,7,0,
31,201808,Org2,product_B,1,1.30136502,1,29,H,3,3033,k,M,2,N,88.60000038,633,510,7,59,0,46,10,7,0,712
32,201809,Org1,product_A,1,12.21008374,1,20,Q,0,1200,r,_,3,N,79.90000916,630,207,1,88,0,100,-99000576,8,0,699
33,201906,Org2,product_B,-2,1.00692511,1,25,R,0,4433,g,N,3,U,74.20001221,639,8,2,-99000672,0,100,-99000576,6,0,704
34,201807,Org2,product_B,1,1.00692511,1,24,R,3,1500,y,F,1,N,90.60000038,606,504,38,41,0,67,12,5,0,634
35,201809,Org1,product_A,0,28.34083432,1,25,H,6,1500,b,M,2,U,92,717,609,3,56,0,100,-99000576,4,0,747
36,201807,Org2,product_B,1,5.22789849,1,56,Q,40,1435,u,N,3,U,97.80000019,679,202,31,-99000672,0,100,-99000576,4,0,647
37,201807,Org1,product_A,0,28.34083432,1,35,H,35,2550,f,N,0,U,84.30000019,618,809,1,90,0,85,1,0,-99000672,645
38,201903,Org2,product_B,0,28.34083432,0,41,H,6,4333,o,M,3,U,85,684,1010,-99000784,44,1,93,61,2,0,
39,201810,Org1,product_A,-2,38.37690636,0,20,R,1,1878,g,N,2,N,91.70000076,510,104,3,106,0,33,1,9,0,
40,201809,Org1,product_B,0,47.31910823,1,-99000792,R,3,2500,f,N,3,U,48.40000916,660,110,74,-99000672,0,100,-99000576,10,0,624
41,201812,Org2,product_A,1,1.00692511,0,24,P,20,1800,y,N,3,N,83.6000061,605,111,5,50,0,80,20,4,0,
42,201905,Org2,product_B,0,50.12978465,1,22,R,0,1534,y,N,3,N,89.80000019,662,204,-99000784,1,0,67,13,3,0,712
43,201902,Org1,product_B,0,28.34083432,1,40,H,2,3420,e,M,3,N,92.60000038,735,1607,-99000784,44,0,100,-99000576,6,0,789
44,201901,Org2,product_A,-2,1.00692511,1,25,H,3,1975,u,F,3,N,94.20000076,638,600,-99000784,84,0,100,-99000576,3,0,646
45,201903,Org1,product_A,1,1.00692511,1,21,P,1,1228,e,_,3,N,88.80000019,592,101,5,96,0,100,-99000576,17,0,605
46,201904,Org2,product_A,1,1.00692511,1,42,H,11,2083,f,N,3,N,72,502,1210,1,100,1,63,2,19,0,613
47,201808,Org1,product_A,-2,1.00692511,1,24,P,14,1625,p,N,2,U,83.6000061,582,8,-99000784,-99000712,1,50,12,6,0,655
48,201811,Org1,product_A,-2,9.07902302,1,21,R,0,1921,b,N,3,N,91.5,,2,1,-99000672,0,-99000712,-99000576,4,1,679
49,201902,Org1,product_A,0,28.34083432,1,48,H,7,2833,p,N,2,N,94.90000057,706,1108,0,77,0,100,-99000576,2,0,749
50,201812,Org2,product_B,1,2.83757623,1,27,R,1,2500,g,_,3,U,69.40000916,626,608,7,43,1,20,25,5,0,721
51,201905,Org1,product_A,0,28.34083432,1,42,H,12,3056,p,N,3,N,84.40000057,646,1103,2,95,0,89,40,6,0,716
52,201807,Org1,product_B,0,28.34083432,1,32,H,1,3533,b,N,3,N,82.20001221,695,308,50,-99000712,0,100,-99000576,4,0,736
53,201808,Org1,product_B,0,50.00844533,1,41,H,3,2100,w,N,3,U,79.40000916,681,603,-99000784,36,0,100,-99000576,4,0,739
54,201901,Org2,product_B,1,0.27720667,1,33,R,0,1800,u,N,2,N,47.40000916,671,209,1,40,0,100,-99000576,7,0,762
55,201903,Org1,product_B,-2,1.00692511,1,19,H,19,2000,b,N,3,N,81.40000916,603,108,-99000784,-99000672,0,0,-99000712,1,4,664
56,201904,Org1,product_A,-2,1.00692511,1,-99000792,R,15,1500,g,F,2,N,89.20000076,656,508,2,-99000672,0,100,-99000576,4,0,654
57,201901,Org1,product_A,-2,1.00692511,1,30,R,10,1300,u,N,2,N,87.10000038,607,303,-99000784,-99000672,0,75,2,3,0,620
58,201811,Org2,product_B,0,48.26030701,1,27,R,1,4000,w,_,2,U,89.5,649,203,3,38,0,67,20,4,0,682
59,201807,Org1,product_B,-2,0.16113385,0,68,R,10,1363,p,M,2,U,53.1000061,685,1710,38,74,0,100,-99000576,3,0,
60,201904,Org1,product_A,1,1.00692511,1,21,H,1,1733,y,F,0,N,78.80000305,560,305,23,92,0,78,8,5,0,621
61,201905,Org2,product_A,1,1.17956953,1,43,H,18,10833,"",N,3,N,95.30000019,558,2410,-99000784,19,7,23,1,1,0,619
62,201812,Org1,product_A,0,46.35964537,1,29,H,5,3333,y,F,2,U,81.30000305,596,503,-99000784,0,6,50,1,6,0,661
63,201902,Org1,product_B,-2,1.00692511,0,-99000792,H,2,2700,"",F,3,N,84.20000076,726,1403,-99000784,67,0,100,-99000576,0,6,
64,201904,Org1,product_B,-2,1.00692511,1,33,R,1,2083,g,N,2,U,55.1000061,674,1306,-99000784,10,0,73,2,2,4,764
65,201902,Org1,product_B,-2,4.87879764,1,25,Q,20,1125,f,N,2,N,71,652,200,-99000784,-99000672,0,100,-99000576,5,0,701
66,201812,Org2,product_B,0,28.34083432,1,24,R,0,2000,p,N,3,N,90.10000038,681,304,1,16,0,86,15,3,0,753
67,201808,Org1,product_A,0,49.40419395,1,48,H,16,1473,b,F,3,N,89.80000019,657,1110,-99000784,0,1,67,7,6,0,709
68,201808,Org1,product_B,1,1.00692511,1,35,Q,2,3433,k,F,3,N,90.90000057,611,702,-99000784,98,0,94,31,7,0,640
69,201808,Org1,product_A,-2,1.00692511,1,23,R,0,2542,y,N,2,U,81.5,654,101,-99000784,69,0,100,-99000576,3,0,733
70,201901,Org1,product_A,-2,1.41668355,1,26,H,0,2925,y,B,2,N,77,619,907,29,117,1,76,10,0,6,682
71,201809,Org1,product_B,1,0.22892624,1,28,H,1,1042,o,N,3,N,86.5,657,1000,18,49,0,96,16,2,0,773
72,201811,Org2,product_B,1,4.70020039,1,25,Q,25,1440,w,M,3,N,86.10000038,632,306,7,-99000672,0,0,-99000712,4,0,678
73,201807,Org1,product_B,0,49.36546155,1,59,H,18,1136,g,M,3,N,86,671,1003,22,33,1,67,40,5,0,761
74,201904,Org1,product_B,-2,1.44369831,1,26,P,3,2000,e,N,2,U,87.70000076,614,609,1,10,5,68,5,4,0,707
75,201809,Org1,product_A,-2,3.16081982,1,31,H,2,6500,g,_,2,U,94.20000076,628,908,-99000784,50,0,91,23,3,0,672
76,201810,Org1,product_A,0,28.34083432,1,31,R,3,4100,y,M,2,N,74,658,1101,2,71,0,94,44,1,3,821
77,201905,Org1,product_B,-2,27.90167657,1,22,R,1,1333,w,M,0,N,96.5,554,202,13,-99000712,2,25,1,4,0,572
78,201901,Org1,product_B,1,0.58584626,1,70,H,20,850,p,N,3,U,70.6000061,665,302,2,100,0,100,-99000576,2,1,742
79,201906,Org2,product_A,-2,1.00692511,1,40,H,2,4500,f,N,0,N,100,650,1710,-99000784,65,3,70,25,4,1,670
80,201904,Org2,product_A,1,1.00692511,1,25,H,1,2250,e,M,2,N,87.70000076,544,202,-99000784,73,0,83,2,10,0,635
81,201904,Org1,product_B,0,49.58034802,1,56,H,14,3440,p,B,2,U,88.90000057,692,209,12,-99000672,0,100,-99000576,1,0,707
82,201901,Org1,product_B,0,49.56846132,1,33,H,1,6917,b,N,3,N,92.30000019,623,1202,0,38,0,80,11,11,0,685
83,201808,Org1,product_B,1,1.00692511,1,48,R,10,2333,b,N,1,N,89.5,693,500,-99000784,47,0,100,-99000576,7,0,732
84,201902,Org1,product_B,1,1.00692511,1,26,H,2,2600,p,N,3,N,90,637,300,19,31,0,80,7,3,0,720
85,201809,Org2,product_B,0,36.90121324,0,26,H,26,1300,w,F,1,N,85.80000019,621,601,1,-99000712,1,77,5,2,0,
86,201906,Org1,product_B,0,49.52498745,1,42,H,15,1000,b,B,1,U,83.40000916,671,704,-99000784,-99000672,0,33,49,1,0,698
87,201903,Org1,product_B,0,28.34083432,1,30,R,0,4167,r,N,3,N,86.70000076,664,511,34,45,0,100,-99000576,4,1,763
88,201812,Org2,product_B,0,28.34083432,1,47,H,2,12500,s,N,3,N,91.40000057,639,2207,57,93,1,72,7,7,0,652
89,201902,Org2,product_A,-2,10.89537905,1,31,H,4,1700,w,F,3,N,92,542,401,-99000784,62,2,22,2,2,0,631
90,201901,Org2,product_B,1,1.00692511,1,31,R,1,1360,f,N,0,N,88.30000019,599,-99000784,12,94,0,100,-99000576,7,0,587
91,201902,Org1,product_A,0,28.34083432,1,40,M,10,2975,f,M,3,N,73.70001221,753,410,4,17,0,100,-99000576,1,0,805
92,201807,Org1,product_B,1,1.00692511,1,41,M,41,1600,p,N,2,N,90.20000076,618,1305,1,-99000712,3,20,19,4,0,677
93,201901,Org2,product_B,-2,1.00692511,0,45,Q,20,3000,f,_,2,N,90.90000057,658,505,36,446,0,100,-99000576,5,0,
94,201808,Org2,product_B,1,2.20713738,1,20,R,0,1500,y,N,3,N,86.10000038,615,308,2,54,0,50,20,5,0,692
95,201904,Org1,product_B,1,11.08377095,0,23,P,5,1200,g,F,3,N,92.30000019,593,200,-99000784,97,0,100,-99000576,3,0,
96,201902,Org2,product_A,-2,1.00692511,1,43,H,22,2000,w,F,2,U,91.10000038,665,505,-99000784,-99000712,0,100,-99000576,5,0,659
97,201809,Org2,product_B,-2,37.56515661,0,20,P,0,1400,w,F,3,N,88.20000076,474,406,2,86,3,0,2,5,0,
98,201904,Org2,product_A,-2,1.00692511,0,24,H,0,1333,y,N,2,U,85.60000038,628,306,3,0,0,80,13,20,0,
99,201904,Org2,product_B,-2,0.43039365,1,45,R,2,3750,g,N,3,N,73,660,2008,7,6,2,50,20,4,0,763
100,201812,Org2,product_B,0,49.14799697,1,24,M,0,1458,b,_,2,N,89.90000057,604,404,3,76,0,92,-99000712,4,0,677
101,201808,Org1,product_A,-2,1.24942755,1,51,H,6,7000,b,M,2,U,76,620,601,2,49,4,33,5,2,0,754
102,201810,Org2,product_B,-2,1.00692511,1,70,H,18,833,g,M,3,N,73.30000305,704,307,1,-99000576,0,100,-99000576,3,0,787
103,201810,Org2,product_A,0,43.53683214,1,21,R,0,1700,g,N,2,N,91.10000038,625,204,3,33,0,83,11,9,0,652
104,201904,Org1,product_A,1,13.54972775,1,35,H,0,13090,b,F,3,U,93.40000057,625,506,-99000784,-99000712,1,50,33,18,0,628
105,201904,Org1,product_A,1,1.00692511,1,59,R,0,3200,p,F,2,U,82.40000916,657,702,-99000784,0,0,75,11,7,0,694
106,201906,Org1,product_A,0,28.34083432,1,21,M,-99000784,1500,y,B,3,N,96.80000019,706,308,0,-99000712,0,100,-99000576,3,0,720
107,201904,Org1,product_B,0,48.91420648,1,50,H,15,3500,g,N,2,U,88.20000076,713,2210,-99000784,22,1,87,57,2,0,734
108,201807,Org2,product_A,0,28.34083432,1,30,H,1,1400,b,N,3,U,96.30000019,697,701,1,93,0,100,-99000576,2,0,740
109,201901,Org1,product_B,0,47.52620304,1,24,R,1,1480,k,N,3,N,80.20001221,612,400,11,64,1,33,4,4,0,683
110,201812,Org1,product_B,0,38.40291789,0,23,P,0,2050,g,_,0,U,85.5,609,204,-99000784,0,1,63,3,6,0,
111,201902,Org1,product_A,0,28.34083432,1,37,H,1,1917,y,N,0,N,73.1000061,695,800,-99000784,85,0,100,-99000576,0,8,740
112,201808,Org2,product_B,0,48.41042937,1,51,H,6,3900,y,N,1,U,88.40000057,646,2308,-99000784,48,1,71,9,4,0,698
113,201905,Org1,product_B,1,1.00692511,1,43,H,43,1150,y,F,3,U,82.90000916,613,706,81,92,0,85,11,3,0,657
114,201808,Org1,product_B,0,28.34083432,1,41,H,41,1667,f,N,3,U,75.70001221,730,906,7,33,0,86,50,3,0,737
115,201812,Org1,product_A,1,8.81089882,1,20,H,0,2505,y,M,2,N,96.5,658,202,-99000784,-99000672,0,100,-99000576,16,0,649
116,201901,Org1,product_B,1,0.53417757,1,-99000792,H,14,2259,f,N,3,N,90.80000019,725,1310,45,37,0,100,-99000576,3,0,688
117,201810,Org1,product_B,1,1.4855855,1,37,H,3,3400,k,M,2,N,86.70000076,637,1008,2,-99000672,1,67,28,1,0,720
118,201902,Org2,product_B,0,49.40540186,1,31,R,4,2300,b,M,2,N,94.5,586,902,-99000784,57,2,38,1,2,0,719
119,201902,Org2,product_B,0,46.67756947,1,33,H,10,1083,g,_,0,U,85,643,602,-99000784,-99000576,1,50,57,2,0,645
120,201904,Org1,product_A,1,1.00692511,1,61,H,50,1500,y,N,2,N,73.90000916,689,607,-99000784,-99000576,0,100,-99000576,4,1,764
121,201807,Org1,product_A,1,1.00692511,1,22,P,3,1950,f,_,2,N,85.60000038,632,200,-99000784,59,0,100,-99000576,2,0,688
122,201807,Org1,product_A,1,1.00692511,1,51,H,0,910,w,F,3,U,72.6000061,683,208,-99000784,-99000672,0,100,-99000576,1,0,721
123,201811,Org2,product_A,-2,2.41845304,1,34,H,5,2573,y,N,3,N,83.6000061,627,405,-99000784,0,2,0,3,27,0,671
124,201810,Org1,product_A,1,0.52796246,1,46,H,46,2975,y,B,3,U,75.1000061,565,1403,12,-99000712,1,83,1,1,0,703
125,201904,Org2,product_B,1,0.76106548,1,28,H,0,2000,b,M,3,N,96.30000019,572,603,-99000784,61,0,63,1,2,0,741
126,201808,Org2,product_A,1,23.91679819,1,50,H,10,1199,r,F,3,U,90.20000076,596,1003,-99000784,100,3,40,1,4,0,635
127,201809,Org1,product_A,1,0.77840657,1,38,H,4,3395,y,F,2,N,87.90000057,682,810,-99000784,0,0,75,43,6,0,725
128,201906,Org2,product_A,0,43.89377677,1,32,R,7,1208,b,_,0,U,78.6000061,,603,3,-99000672,1,0,7,4,0,646
129,201903,Org2,product_A,0,28.34083432,1,28,H,6,2100,y,N,3,N,84.30000019,658,708,-99000784,44,1,95,61,8,0,766
130,201903,Org1,product_A,0,28.34083432,1,40,H,2,6228,b,N,3,N,87,687,1710,-99000784,55,2,45,15,2,1,764
131,201905,Org2,product_A,-2,1.00692511,1,52,H,0,2056,u,F,2,N,90,601,701,-99000784,0,2,60,9,9,0,593
132,201906,Org1,product_A,0,42.76238681,0,29,H,0,1400,f,M,0,N,89.90000057,649,200,-99000784,-99000672,0,0,-99000712,5,0,
133,201809,Org2,product_A,-2,1.00692511,1,31,H,2,2165,w,F,2,N,86.20000076,546,1003,-99000784,100,3,64,2,6,0,588
134,201812,Org1,product_B,-2,1.00692511,0,30,H,0,1200,f,F,3,N,90.60000038,703,911,-99000784,15,0,92,-99000712,3,0,
135,201808,Org1,product_B,-2,1.00692511,1,44,H,8,2000,w,F,3,U,85.5,639,908,57,-99000672,0,100,-99000576,5,0,632
136,201906,Org1,product_A,1,0.74759481,1,33,R,3,1456,g,N,3,N,69.70001221,702,802,-99000784,46,0,83,49,10,0,754
137,201902,Org2,product_B,-2,1.7938104,0,23,R,10,1200,y,F,3,N,87.5,632,111,5,-99000672,0,50,-99000712,0,11,
138,201902,Org2,product_A,-2,1.00692511,1,48,Q,3,3000,k,N,0,U,100,617,1809,-99000784,81,0,93,19,4,0,589
139,201904,Org2,product_A,0,49.46104618,1,-99000792,P,4,1300,f,N,0,N,90,654,403,-99000784,5,0,92,7,5,0,639
140,201808,Org2,product_B,-2,1.00692511,1,30,R,5,1772,w,N,3,N,95,646,509,2,50,0,100,-99000576,7,0,726
141,201904,Org2,product_B,0,28.34083432,1,59,H,11,3600,h,N,0,U,77.5,745,1405,-99000784,12,0,89,52,1,2,745
142,201811,Org2,product_B,1,1.00692511,1,23,H,5,2576,e,F,3,N,91.5,598,300,2,-99000672,0,83,6,4,0,648
143,201902,Org1,product_A,0,28.34083432,0,29,R,0,3000,f,M,3,N,91.80000019,708,1106,17,58,0,94,-99000712,2,3,
144,201811,Org1,product_A,0,47.12205052,1,26,R,1,1850,b,M,2,N,84.20000076,606,-99000784,4,-99000672,0,0,8,9,0,660
145,201903,Org1,product_A,0,40.30756916,1,35,H,0,13090,b,F,3,U,93.40000057,625,506,5,-99000712,1,50,33,18,0,626
146,201812,Org1,product_A,1,39.17548543,1,20,P,0,1000,y,_,3,U,89.70000076,478,106,23,69,4,13,2,9,0,607
147,201809,Org1,product_B,-2,1.00692511,1,30,R,1,2150,b,N,3,U,77.30000305,608,801,-99000784,100,0,50,5,5,0,677
148,201812,Org1,product_A,-2,1.17956953,1,34,H,0,5000,f,M,3,N,79.20001221,674,1204,-99000784,30,0,100,-99000576,2,0,770
149,201809,Org1,product_B,0,48.56555137,1,40,H,4,3060,b,M,0,N,95.10000038,595,1211,-99000784,77,1,68,7,5,0,663
150,201811,Org2,product_B,1,6.29302811,1,23,R,23,1833,w,M,2,U,93,679,610,-99000784,100,0,100,-99000576,6,0,673
151,201807,Org1,product_B,1,1.00692511,1,29,R,3,1814,k,N,3,N,87.70000076,663,603,-99000784,0,1,57,18,5,0,707
152,201903,Org2,product_B,0,28.34083432,1,33,H,2,2217,f,_,2,N,91.30000019,768,608,1,20,0,100,-99000576,1,1,754
153,201808,Org2,product_A,0,28.34083432,1,45,M,24,1000,p,N,2,N,92,686,2400,0,81,0,100,-99000576,2,1,722
154,201905,Org2,product_A,-2,0.54740251,1,68,R,3,2345,b,M,2,U,45,,904,0,-99000712,1,33,28,5,0,749
155,201809,Org2,product_A,-2,1.42994219,1,23,H,0,1400,y,N,3,N,63.80000305,569,304,5,55,1,64,6,3,1,738
156,201901,Org2,product_B,0,47.61818041,1,22,R,1,1440,k,N,3,N,89.70000076,593,203,5,44,0,88,2,11,0,611
157,201906,Org1,product_A,0,41.52517321,1,32,P,3,1700,g,N,3,N,96.10000038,620,404,4,95,0,100,-99000576,10,0,627
158,201812,Org1,product_B,1,1.00692511,1,42,R,3,2833,b,N,3,U,79,636,1209,1,76,1,96,68,3,1,753
159,201901,Org1,product_A,0,45.41187239,1,27,P,5,820,w,B,3,U,90.90000057,641,205,57,-99000672,0,50,-99000576,5,0,626
160,201903,Org2,product_A,1,28.98094993,1,28,H,5,19000,b,F,1,N,87.20000076,488,404,-99000784,54,2,33,2,19,0,594
161,201808,Org2,product_A,-2,1.00692511,1,27,H,5,2000,p,F,3,U,90.70000076,616,403,-99000784,-99000576,1,91,23,9,0,628
162,201904,Org2,product_B,0,44.9905475,1,30,H,8,1634,o,N,2,U,82,568,510,2,93,1,43,3,4,0,686
163,201808,Org2,product_A,1,1.84291421,1,31,H,2,2625,f,N,3,N,93.90000057,608,304,2,45,2,25,5,3,0,682
164,201809,Org1,product_A,0,47.32490419,1,36,R,24,2200,w,_,2,N,91.20000076,647,108,-99000784,0,0,100,-99000576,15,0,646
165,201904,Org1,product_A,0,28.34083432,1,40,H,4,4000,h,N,3,U,69.20001221,683,1904,-99000784,64,0,92,69,2,0,789
166,201903,Org2,product_A,-2,1.00692511,1,25,R,1,2379,y,F,3,N,94.20000076,684,500,54,29,0,100,-99000576,8,0,706
167,201905,Org1,product_A,0,28.34083432,1,29,R,0,2500,k,N,3,U,66.6000061,754,403,-99000784,0,0,100,-99000576,5,0,738
168,201904,Org2,product_B,0,49.33541393,1,29,R,3,1382,g,N,3,N,70.40000916,,1,-99000784,-99000672,0,-99000712,-99000576,0,-99000672,732
169,201811,Org2,product_B,-2,1.00692511,1,34,R,0,10000,b,N,3,N,65.1000061,652,505,-99000784,-99000672,0,80,-99000712,6,0,748
170,201811,Org2,product_A,1,1.00692511,1,36,H,8,1290,b,F,0,U,81.6000061,661,9,1,-99000672,0,100,-99000576,1,0,700
171,201811,Org2,product_B,-2,1.00692511,1,30,H,0,3250,b,F,3,U,86.10000038,603,1003,21,87,0,67,5,11,0,612
172,201812,Org1,product_B,1,1.00692511,1,26,H,0,2000,k,F,3,N,86.90000057,641,306,-99000784,74,0,75,15,5,0,686
173,201906,Org1,product_B,-2,1.00692511,1,24,R,1,1212,g,F,3,N,81.30000305,665,306,2,0,1,0,17,5,0,723
174,201810,Org1,product_A,-2,58.43761035,1,20,R,0,1058,g,N,0,N,90.20000076,456,110,-99000784,109,4,14,2,17,0,497
175,201808,Org1,product_A,0,28.34083432,1,20,R,1,2450,o,F,3,N,89.40000057,682,200,-99000784,-99000672,0,100,-99000576,1,0,698
176,201808,Org2,product_B,0,48.56109422,1,40,R,0,2906,g,M,2,U,92.60000038,654,1301,63,33,8,43,21,7,0,706
177,201903,Org1,product_A,1,0.55175427,1,32,R,1,1500,g,M,3,U,86.90000057,736,1307,-99000784,38,0,100,-99000576,2,0,763
178,201809,Org2,product_A,0,28.34083432,1,39,H,39,1989,y,N,0,N,78.30000305,684,808,0,16,0,100,-99000576,2,1,764
179,201810,Org1,product_B,-2,1.00692511,1,63,H,20,900,"",N,3,U,77.70001221,715,507,18,62,0,100,-99000576,1,0,720
180,201809,Org1,product_B,-2,1.00692511,1,24,H,1,2480,k,N,3,N,80.6000061,654,402,43,-99000576,0,89,-99000712,2,1,694
181,201811,Org1,product_A,1,1.00692511,1,36,H,12,1500,w,N,2,U,91.90000057,674,106,-99000784,-99000672,0,100,-99000576,4,0,670
182,201812,Org2,product_B,1,1.43979974,1,33,H,1,3500,y,N,3,N,96.60000038,645,807,3,93,1,92,29,0,7,719
183,201809,Org1,product_B,-2,10.26159213,1,23,R,1,2180,g,F,2,N,86.5,634,202,-99000784,-99000672,0,0,-99000712,3,0,660
184,201902,Org1,product_B,0,28.34083432,1,32,H,0,2715,y,N,2,N,77.70001221,693,1107,-99000784,29,0,100,-99000576,5,0,774
185,201902,Org2,product_B,-2,9.43117418,1,27,R,0,3033,k,N,0,N,63.5,583,705,42,36,1,40,1,10,0,608
186,201811,Org2,product_A,1,1.00692511,0,56,H,10,3948,f,N,3,N,97.20000076,558,911,28,94,1,69,1,4,0,
187,201903,Org1,product_A,1,1.00692511,1,23,R,0,1600,y,F,3,N,91.20000076,567,105,-99000784,86,0,75,-99000712,19,0,617
188,201812,Org1,product_A,0,41.13895827,1,45,P,4,1646,w,M,1,U,90.20000076,602,1111,1,95,0,100,-99000576,3,0,611
189,201904,Org2,product_A,0,42.14635509,1,37,R,0,2459,y,N,3,N,88.70000076,539,511,0,77,5,25,2,5,0,690
190,201809,Org1,product_B,0,28.34083432,1,53,H,25,1917,y,N,3,N,78.40000916,814,2003,-99000784,4,0,100,-99000576,1,1,807
191,201904,Org1,product_A,1,1.00692511,1,32,H,7,2900,o,F,3,U,86.30000019,630,803,19,80,0,100,-99000576,2,0,689
192,201811,Org1,product_A,-2,1.00692511,1,40,H,6,2250,w,N,2,U,94.30000019,616,900,-99000784,35,1,75,6,5,0,662
193,201904,Org1,product_A,1,1.17956953,1,54,H,20,2400,p,M,3,N,93.40000057,630,2007,-99000784,-99000712,1,86,19,2,0,721
194,201903,Org1,product_A,1,1.00692511,1,84,H,4,1700,f,_,3,N,90.30000019,711,2210,2,77,0,100,-99000576,4,0,744
195,201904,Org2,product_B,0,28.34083432,0,27,H,2,3560,f,N,3,N,82.90000916,739,904,-99000784,9,0,100,-99000576,3,0,
196,201809,Org2,product_A,0,36.7625159,1,39,R,0,3333,w,N,2,U,89.60000038,552,306,0,-99000712,3,20,1,1,0,638
